,지역명,규모구분,연도,월,분양가격
98,경기,전용면적 85㎡초과 102㎡이하,2015,11,3391.0
99,경기,전용면적 102㎡초과,2015,11,3724.0
100,부산,전체,2015,11,3131.0
101,부산,전용면적 60㎡이하,2015,11,2982.0
102,부산,전용면적 60㎡초과 85㎡이하,2015,11,3037.0
103,부산,전용면적 85㎡초과 102㎡이하,2015,11,2957.0
104,부산,전용면적 102㎡초과,2015,11,3739.0
105,대구,전체,2015,11,2749.0
106,대구,전용면적 60㎡이하,2015,11,2503.0
107,대구,전용면적 60㎡초과 85㎡이하,2015,11,2806.0
108,대구,전용면적 85㎡초과 102㎡이하,2015,11,2557.0
109,대구,전용면적 102㎡초과,2015,11,2743.0
110,광주,전체,2015,11,2424.0
111,광주,전용면적 60㎡이하,2015,11,2251.0
112,광주,전용면적 60㎡초과 85㎡이하,2015,11,2444.0
113,광주,전용면적 85㎡초과 102㎡이하,2015,11,2965.1990950226245
114,광주,전용면적 102㎡초과,2015,11,2965.1990950226245
115,대전,전체,2015,11,2454.0
116,대전,전용면적 60㎡이하,2015,11,2585.0
117,대전,전용면적 60㎡초과 85㎡이하,2015,11,2428.0
118,대전,전용면적 85㎡초과 102㎡이하,2015,11,2461.0
119,대전,전용면적 102㎡초과,2015,11,2965.1990950226245
120,울산,전체,2015,11,3043.0
121,울산,전용면적 60㎡이하,2015,11,2584.0
122,울산,전용면적 60㎡초과 85㎡이하,2015,11,3048.0
123,울산,전용면적 85㎡초과 102㎡이하,2015,11,2663.0
124,울산,전용면적 102㎡초과,2015,11,2874.0
125,세종,전체,2015,11,2648.0
126,세종,전용면적 60㎡이하,2015,11,2572.0
127,세종,전용면적 60㎡초과 85㎡이하,2015,11,2666.0
128,세종,전용면적 85㎡초과 102㎡이하,2015,11,2644.0
129,세종,전용면적 102㎡초과,2015,11,2749.0
130,강원,전체,2015,11,2171.0
131,강원,전용면적 60㎡이하,2015,11,2292.0
132,강원,전용면적 60㎡초과 85㎡이하,2015,11,2193.0
133,강원,전용면적 85㎡초과 102㎡이하,2015,11,2061.0
134,강원,전용면적 102㎡초과,2015,11,2171.0
135,충북,전체,2015,11,2004.0
136,충북,전용면적 60㎡이하,2015,11,1921.0
137,충북,전용면적 60㎡초과 85㎡이하,2015,11,2015.0
138,충북,전용면적 85㎡초과 102㎡이하,2015,11,1868.0
139,충북,전용면적 102㎡초과,2015,11,2277.0
140,충남,전체,2015,11,2100.0
141,충남,전용면적 60㎡이하,2015,11,2214.0
142,충남,전용면적 60㎡초과 85㎡이하,2015,11,2105.0
143,충남,전용면적 85㎡초과 102㎡이하,2015,11,2523.0
144,충남,전용면적 102㎡초과,2015,11,2468.0
145,전북,전체,2015,11,2057.0
146,전북,전용면적 60㎡이하,2015,11,2129.0
147,전북,전용면적 60㎡초과 85㎡이하,2015,11,2057.0
148,전북,전용면적 85㎡초과 102㎡이하,2015,11,2377.0
149,전북,전용면적 102㎡초과,2015,11,2282.0
150,전남,전체,2015,11,1909.0
151,전남,전용면적 60㎡이하,2015,11,1999.0
152,전남,전용면적 60㎡초과 85㎡이하,2015,11,1906.0
153,전남,전용면적 85㎡초과 102㎡이하,2015,11,2262.0
154,전남,전용면적 102㎡초과,2015,11,2176.0
155,경북,전체,2015,11,2190.0
156,경북,전용면적 60㎡이하,2015,11,2210.0
157,경북,전용면적 60㎡초과 85㎡이하,2015,11,2186.0
158,경북,전용면적 85㎡초과 102㎡이하,2015,11,2516.0
159,경북,전용면적 102㎡초과,2015,11,2370.0
160,경남,전체,2015,11,2298.0
161,경남,전용면적 60㎡이하,2015,11,2200.0
162,경남,전용면적 60㎡초과 85㎡이하,2015,11,2322.0
163,경남,전용면적 85㎡초과 102㎡이하,2015,11,2980.0
164,경남,전용면적 102㎡초과,2015,11,3043.0
165,제주,전체,2015,11,2232.0
166,제주,전용면적 60㎡이하,2015,11,2965.1990950226245
167,제주,전용면적 60㎡초과 85㎡이하,2015,11,2225.0
168,제주,전용면적 85㎡초과 102㎡이하,2015,11,2583.0
169,제주,전용면적 102㎡초과,2015,11,2574.0
170,서울,전체,2015,12,6041.0
171,서울,전용면적 60㎡이하,2015,12,6321.0
172,서울,전용면적 60㎡초과 85㎡이하,2015,12,5966.0
173,서울,전용면적 85㎡초과 102㎡이하,2015,12,6513.0
174,서울,전용면적 102㎡초과,2015,12,6551.0
175,인천,전체,2015,12,3184.0
176,인천,전용면적 60㎡이하,2015,12,3328.0
177,인천,전용면적 60㎡초과 85㎡이하,2015,12,3119.0
178,인천,전용면적 85㎡초과 102㎡이하,2015,12,3545.0
179,인천,전용면적 102㎡초과,2015,12,3408.0
180,경기,전체,2015,12,3198.0
181,경기,전용면적 60㎡이하,2015,12,3293.0
